model,param,fold,test_recall,test_precision,test_pr_auc,test_roc_auc,test_pr_auc_adj,train_recall,train_precision,train_pr_auc,train_roc_auc,train_pr_auc_adj,time
AdaBoost,"{'estimator': DecisionTreeClassifier(max_depth=2, random_state=4), 'learning_rate': 0.1, 'n_estimators': 50, 'random_state': 4}",1,0.4782608695652174,0.9166666666666666,0.7572833449275177,0.9853945021831375,0.7990501220579067,0.4968553459119497,0.797979797979798,0.7482440435912362,0.9851141646158053,0.7482279691551775,4.523337274000369
AdaBoost,"{'estimator': DecisionTreeClassifier(max_depth=2, random_state=4), 'learning_rate': 0.1, 'n_estimators': 50, 'random_state': 4}",2,0.46153846153846156,0.9,0.7251913294761904,0.9766596163122936,0.6795838136414927,0.4835164835164835,0.8073394495412844,0.7518628463785884,0.9866284678918512,0.7518109208348366,4.8850002680001126
AdaBoost,"{'estimator': DecisionTreeClassifier(max_depth=2, random_state=4), 'learning_rate': 0.1, 'n_estimators': 50, 'random_state': 4}",3,0.4117647058823529,0.7368421052631579,0.7010493543407836,0.9776664976335361,0.6887208961453968,0.43891402714932126,0.8083333333333333,0.7416693965912309,0.9849182765118244,0.7416321067665199,6.621213850000004
AdaBoost,"{'estimator': DecisionTreeClassifier(max_depth=2, random_state=4), 'learning_rate': 0.1, 'n_estimators': 50, 'random_state': 4}",4,0.2631578947368421,0.5263157894736842,0.489160202220715,0.9518748098570124,0.4468228744218874,0.4235294117647059,0.8059701492537313,0.736970342443691,0.9844301799431759,0.7369578460465037,6.431545125999946
AdaBoost,"{'estimator': DecisionTreeClassifier(max_depth=2, random_state=4), 'learning_rate': 0.1, 'n_estimators': 50, 'random_state': 4}",5,0.3225806451612903,0.9090909090909091,0.6741370260190149,0.9749873090590244,0.6812830480038604,0.4061433447098976,0.7727272727272727,0.7149389487775362,0.9828881587025283,0.7149354178566966,8.531126074999975
AdaBoost,"{'estimator': DecisionTreeClassifier(max_depth=2, random_state=4), 'learning_rate': 0.1, 'n_estimators': 75, 'random_state': 4}",1,0.43478260869565216,0.9090909090909091,0.7896421821120623,0.9861939610110079,0.8255076080396165,0.4968553459119497,0.797979797979798,0.7710446331051211,0.98640674697408,0.7710332800488136,6.110677180000039
AdaBoost,"{'estimator': DecisionTreeClassifier(max_depth=2, random_state=4), 'learning_rate': 0.1, 'n_estimators': 75, 'random_state': 4}",2,0.4358974358974359,0.8947368421052632,0.7241599946524182,0.9763998664143382,0.6787679336555513,0.4725274725274725,0.8037383177570093,0.7683998848658697,0.9877854123036136,0.7683476589461317,8.273041426999953
AdaBoost,"{'estimator': DecisionTreeClassifier(max_depth=2, random_state=4), 'learning_rate': 0.1, 'n_estimators': 75, 'random_state': 4}",3,0.38235294117647056,0.7222222222222222,0.7015083549427309,0.9783215010141988,0.6882437896356421,0.4660633484162896,0.8512396694214877,0.7605164169875974,0.9861359463152776,0.7600648493043639,9.097571833000075
AdaBoost,"{'estimator': DecisionTreeClassifier(max_depth=2, random_state=4), 'learning_rate': 0.1, 'n_estimators': 75, 'random_state': 4}",4,0.2631578947368421,0.5263157894736842,0.4956935459076024,0.9543846972923637,0.45388854196734296,0.4549019607843137,0.7945205479452054,0.742132700526501,0.9851836262232978,0.7420993842272093,9.581708766999782
AdaBoost,"{'estimator': DecisionTreeClassifier(max_depth=2, random_state=4), 'learning_rate': 0.1, 'n_estimators': 75, 'random_state': 4}",5,0.3870967741935484,0.8571428571428571,0.6864963904275635,0.976141030965896,0.6938934889364784,0.45733788395904434,0.7657142857142857,0.7239292567981495,0.9839060189305159,0.7238724879568149,11.499017407999872
AdaBoost,"{'estimator': DecisionTreeClassifier(max_depth=2, random_state=4), 'learning_rate': 0.1, 'n_estimators': 100, 'random_state': 4}",1,0.43478260869565216,1.0,0.8049615442523815,0.9859787220958122,0.8365876574894916,0.5220125786163522,0.8137254901960784,0.8031652182035908,0.9885205733776607,0.803140747995674,8.978647289000037
