params_max_depth,params_learning_rate,params_n_estimators,tr_pr_auc_mean,tr_pr_auc_std,te_pr_auc_mean,te_pr_auc_std,adj_pr_auc_mean,adj_pr_auc_std,tr_roc_auc_mean,tr_roc_auc_std,te_roc_auc_mean,te_roc_auc_std,tr_recall_mean,tr_recall_std,te_recall_mean,te_recall_std,tr_precision_mean,tr_precision_std,te_precision_mean,te_precision_std,time_mean,time_std
3.0,0.2,75.0,0.9325,0.0402,0.734,0.0747,0.7222,0.0977,0.9968,0.002,0.9802,0.006,0.7456,0.069,0.5242,0.1123,0.9015,0.0393,0.7834,0.0899,11.8362,3.0198
3.0,0.2,50.0,0.9182,0.0419,0.733,0.0778,0.7216,0.0995,0.996,0.0021,0.9802,0.0063,0.7252,0.0729,0.5236,0.1022,0.8856,0.0469,0.7999,0.0866,8.3911,1.872
3.0,0.2,125.0,0.9544,0.0375,0.7323,0.0805,0.72,0.1033,0.9978,0.0018,0.9802,0.0067,0.8064,0.0857,0.5102,0.1284,0.9283,0.0474,0.7912,0.1261,20.0084,5.1822
3.0,0.2,100.0,0.9443,0.0363,0.7307,0.0738,0.7186,0.0968,0.9974,0.0017,0.98,0.0062,0.7834,0.0552,0.5243,0.1003,0.9059,0.0376,0.7907,0.1213,15.7712,4.5744
5.0,0.3,125.0,1.0,0.0,0.7271,0.0632,0.7156,0.0844,1.0,0.0,0.9763,0.0055,1.0,0.0,0.4925,0.1195,1.0,0.0,0.7851,0.0841,37.5859,8.1939
5.0,0.3,100.0,1.0,0.0,0.725,0.0462,0.7146,0.0688,1.0,0.0,0.9763,0.0055,1.0,0.0,0.5101,0.1154,1.0,0.0,0.7924,0.08,29.6974,6.5932
3.0,0.1,125.0,0.9175,0.0387,0.7188,0.0717,0.7034,0.1017,0.9959,0.0019,0.9788,0.007,0.708,0.07,0.4651,0.0948,0.8965,0.0394,0.7616,0.086,19.2315,6.0618
5.0,0.3,75.0,1.0,0.0,0.718,0.0523,0.705,0.0798,1.0,0.0,0.9763,0.0053,1.0,0.0,0.5276,0.1173,1.0,0.0,0.8061,0.0814,21.6354,4.8429
3.0,0.1,75.0,0.895,0.0415,0.7172,0.0687,0.7043,0.0945,0.9947,0.0022,0.979,0.0064,0.6679,0.061,0.4545,0.0762,0.8806,0.045,0.7749,0.0762,11.9849,3.1641
4.0,0.3,125.0,1.0,0.0,0.7162,0.0428,0.7057,0.0701,1.0,0.0,0.9789,0.0063,1.0,0.0,0.4575,0.1071,1.0,0.0,0.7641,0.0725,30.6494,6.3772
3.0,0.3,100.0,0.9653,0.0437,0.715,0.0853,0.6983,0.1091,0.9984,0.0021,0.9793,0.0069,0.8514,0.1236,0.514,0.1072,0.9408,0.0582,0.7523,0.1055,15.7969,2.8065
3.0,0.1,100.0,0.9081,0.0408,0.7142,0.068,0.6988,0.0984,0.9954,0.0021,0.9786,0.0064,0.69,0.0602,0.4586,0.0915,0.8898,0.0361,0.7659,0.0861,15.5384,4.8657
3.0,0.3,75.0,0.9436,0.0452,0.7115,0.0816,0.6928,0.1084,0.9973,0.0022,0.9793,0.0062,0.7917,0.1023,0.5072,0.0727,0.9107,0.0415,0.7272,0.0713,11.1507,2.4451
3.0,0.3,125.0,0.9756,0.0358,0.7112,0.078,0.698,0.1031,0.9988,0.0018,0.9788,0.0066,0.8877,0.125,0.5035,0.1204,0.9572,0.0527,0.7657,0.1407,20.7665,3.7628
