model,param,fold,test_recall,test_precision,test_pr_auc,test_roc_auc,test_pr_auc_adj,train_recall,train_precision,train_pr_auc,train_roc_auc,train_pr_auc_adj,time
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 50, 'random_state': 4}",1,0.3478260869565217,0.8,0.7375575134390125,0.9823811573703954,0.7788261167116952,0.6226415094339622,0.9428571428571428,0.8798882960675958,0.9915123123641756,0.8798239164660745,5.331099162999635
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 50, 'random_state': 4}",2,0.358974358974359,0.7368421052631579,0.7122262888257769,0.9704998330179228,0.6708697690854006,0.6043956043956044,0.8943089430894309,0.8738911616357821,0.9915543057941344,0.8738565981162073,6.157938419999482
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 50, 'random_state': 4}",3,0.2941176470588235,0.6666666666666666,0.6336189236063668,0.9776031102096012,0.6151410157465227,0.6018099547511312,0.8986486486486487,0.8586582996212047,0.9895374703903757,0.8586415711205457,7.682292198999676
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 50, 'random_state': 4}",4,0.3421052631578947,0.5652173913043478,0.5365702472881156,0.9354844843322178,0.4908688633985752,0.6039215686274509,0.8415300546448088,0.8340101683631933,0.9889954049598372,0.8339236351645581,8.735305977999815
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 50, 'random_state': 4}",5,0.4193548387096774,0.8125,0.7290555686492382,0.975079606811574,0.73497445862365,0.5426621160409556,0.8502673796791443,0.8087330478920309,0.9860430636098804,0.8085761923128553,9.18154992900054
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 75, 'random_state': 4}",1,0.4782608695652174,0.7857142857142857,0.7569158354138029,0.9837648361109405,0.7967304953608851,0.7044025157232704,0.9411764705882352,0.9148596386633046,0.9944212972957416,0.9141201552617312,8.271058745000119
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 75, 'random_state': 4}",2,0.4615384615384615,0.75,0.7244785511664673,0.9732828676388734,0.6818291563207207,0.6868131868131868,0.9398496240601504,0.9226356185064032,0.9949368975064906,0.922617341522923,9.73829769400072
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 75, 'random_state': 4}",3,0.3235294117647059,0.6470588235294118,0.6408328818048626,0.9775608519269776,0.6211641967339829,0.669683257918552,0.9192546583850932,0.896982605914251,0.9926537620172082,0.8969609383101734,11.59696451400032
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 75, 'random_state': 4}",4,0.3947368421052631,0.5769230769230769,0.563362199704492,0.9442120474596896,0.5259194655552348,0.6549019607843137,0.8835978835978836,0.8746712307365337,0.9917534813567646,0.8745685984691212,12.794584080000275
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 75, 'random_state': 4}",5,0.4838709677419355,0.8333333333333334,0.757119324985803,0.9768794129862938,0.7629817337727091,0.5972696245733788,0.8883248730964467,0.8471256387071396,0.9890553539936956,0.8468756131871378,14.18310148799992
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100, 'random_state': 4}",1,0.5217391304347826,0.8571428571428571,0.7698326443699057,0.984133817108419,0.8071471720567627,0.7610062893081762,0.9603174603174603,0.950439115605394,0.99677618985939,0.9503748203136188,10.496182808000412
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100, 'random_state': 4}",2,0.4871794871794871,0.76,0.7155018871701256,0.972689153586404,0.67021529740165,0.7692307692307693,0.9722222222222222,0.9500309342210332,0.9966964988378264,0.9500110430980744,12.614751040000556
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100, 'random_state': 4}",3,0.3823529411764705,0.6842105263157895,0.6272101488871256,0.9765466531440162,0.6088092946507031,0.7058823529411765,0.934131736526946,0.9199343733203388,0.994235253436196,0.9199230502543724,14.825171097999371
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100, 'random_state': 4}",4,0.3947368421052631,0.6,0.5795325240156394,0.9546318831761484,0.5430795769875539,0.6980392156862745,0.922279792746114,0.9020939654806044,0.993503104282858,0.901895130956314,16.67704597699958
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100, 'random_state': 4}",5,0.5161290322580645,0.7619047619047619,0.7410201350092187,0.9771101573676682,0.7471412261011822,0.6245733788395904,0.8970588235294118,0.8707885564085811,0.9908161679776336,0.8705916289074942,18.864093302000583
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 125, 'random_state': 4}",1,0.5217391304347826,0.9230769230769232,0.7688687942159168,0.9838263329438532,0.8051642559082328,0.8050314465408805,0.9696969696969696,0.970784670770746,0.9980444857015384,0.9707804158288318,11.187020301000302
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 125, 'random_state': 4}",2,0.4871794871794871,0.76,0.7177248714481522,0.9735055104085496,0.6714047962386596,0.8186813186813187,0.9738562091503268,0.9666470886819968,0.9976011378580972,0.9666401422149348,13.960571096000422
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 125, 'random_state': 4}",3,0.4117647058823529,0.6666666666666666,0.6285848444981039,0.9767579445571332,0.6077284030470566,0.7420814479638009,0.9534883720930232,0.9464315548110336,0.99613711128411,0.9464296528133254,16.773426547999406
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 125, 'random_state': 4}",4,0.3947368421052631,0.5769230769230769,0.5767864956376721,0.955164283541223,0.5406342864442887,0.7215686274509804,0.92,0.9221726675282764,0.9953474341436038,0.9220245759532256,18.05932585499977
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 125, 'random_state': 4}",5,0.4838709677419355,0.75,0.7473118993494169,0.9787253680372884,0.7535314194618747,0.6621160409556314,0.9065420560747663,0.8937952357525768,0.992855148194147,0.8936032511732618,21.156519103999017
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'random_state': 4}",1,0.4782608695652174,0.8461538461538461,0.6743576194176831,0.9785376053133265,0.7083202689151402,0.8490566037735849,0.9782608695652174,0.9769667186312392,0.9986831311255993,0.9769646868741452,7.871403817999635
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'random_state': 4}",2,0.4871794871794871,0.9047619047619048,0.7642448468414188,0.9737652603065048,0.72902644115961,0.8131868131868132,0.9932885906040269,0.9747069762085993,0.9984757093964802,0.9747056055411308,9.501777258999937
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'random_state': 4}",3,0.3235294117647059,0.6875,0.6431475267523321,0.9781102096010816,0.6215972259660342,0.7873303167420814,0.956043956043956,0.9634766593458624,0.9978494305521396,0.9634747183805638,11.107392872000672
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'random_state': 4}",4,0.3157894736842105,0.5217391304347826,0.5732873937426584,0.9590622147855188,0.5340586809831933,0.7647058823529411,0.9420289855072465,0.9428786977379104,0.9965189940018944,0.9428417752812414,12.643409776000226
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'random_state': 4}",5,0.4838709677419355,0.7894736842105263,0.7413197637512928,0.9799713876967096,0.7471284706820787,0.7098976109215017,0.9285714285714286,0.9298686035540916,0.9956623453107804,0.929687575219498,14.121554594999909
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 75, 'random_state': 4}",1,0.4782608695652174,0.8461538461538461,0.7026213971066206,0.9793370641411968,0.7446989346023978,0.89937106918239,0.9930555555555556,0.9949264458100872,0.9997445418303758,0.9949263371411994,11.714823846999934
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 75, 'random_state': 4}",2,0.5384615384615384,0.84,0.7646618893556819,0.9745445100003712,0.7300493276252183,0.8901098901098901,1.0,0.9925227711387612,0.9995895135081432,0.992522716062224,13.898292293999477
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 75, 'random_state': 4}",3,0.3529411764705882,0.7058823529411765,0.6603994148688395,0.9785327924273156,0.6435204588485814,0.8416289592760181,0.9789473684210528,0.9837747142740296,0.9990208714336698,0.9837740664575316,16.21360702200036
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 75, 'random_state': 4}",4,0.2894736842105263,0.55,0.5736067436273888,0.95949954365683,0.5349335873954341,0.8196078431372549,0.9631336405529954,0.9692745392324418,0.9981233996281876,0.969265526325606,18.72042561500075
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 75, 'random_state': 4}",5,0.4838709677419355,0.7142857142857143,0.7358320091179474,0.9796483455627856,0.7428041686790368,0.7952218430034129,0.9549180327868853,0.9588910665574828,0.9976692712153366,0.9587680830615208,21.25634165000065
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 4}",1,0.5217391304347826,0.8571428571428571,0.6820665490048173,0.9792755673082836,0.710996312813344,0.9685534591194968,1.0,0.9996518907860836,0.9999838089892492,0.9996518907860836,15.389541060999363
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 4}",2,0.5641025641025641,0.7857142857142857,0.7425943666690358,0.9737281531782256,0.7034961424111799,0.934065934065934,1.0,0.9979228621968336,0.999888881045198,0.997922860280756,19.06802522999988
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 4}",3,0.3235294117647059,0.6470588235294118,0.6477891095153139,0.9776453684922244,0.6280681544071596,0.9049773755656108,0.9950248756218906,0.994634177437363,0.9997401934587924,0.9946336717811092,21.68334679000054
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 4}",4,0.3157894736842105,0.6,0.5815683997258354,0.9591192576817767,0.5427884316419246,0.8941176470588236,0.9827586206896552,0.9839829912438792,0.9990276754709038,0.9839797914106252,24.920647279999685
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 4}",5,0.5483870967741935,0.7727272727272727,0.7521586676551256,0.9802021320780838,0.7586744616354926,0.825938566552901,0.9641434262948207,0.9758824439338184,0.9986423097359268,0.9758725279265932,28.97582617699936
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 125, 'random_state': 4}",1,0.4782608695652174,0.7857142857142857,0.7378824712035652,0.9827808867843304,0.7791107692499568,0.9748427672955976,1.0,0.9999216277979608,0.9999964019976108,0.9999216277979608,17.87235859000066
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 125, 'random_state': 4}",2,0.5897435897435898,0.7419354838709677,0.7327561510090157,0.9739507959479016,0.6904085035397779,0.9615384615384616,1.0,1.0,1.0,1.0,21.42211621699971
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 125, 'random_state': 4}",3,0.4411764705882353,0.6521739130434783,0.6017169369520695,0.975447937795808,0.5830134093612303,0.9502262443438914,1.0,0.9988497776889458,0.999943600715254,0.9988497755630644,24.449124894001216
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 125, 'random_state': 4}",4,0.3157894736842105,0.5714285714285714,0.6001926885089482,0.960564344386979,0.5616190976324656,0.9098039215686274,0.9830508474576272,0.9915771509505236,0.9995720649619416,0.9915621329368092,27.950110826999666
