params_learning_rate,params_max_depth,params_n_estimators,tr_pr_auc_mean,tr_pr_auc_std,te_pr_auc_mean,te_pr_auc_std,adj_pr_auc_mean,adj_pr_auc_std,tr_roc_auc_mean,tr_roc_auc_std,te_roc_auc_mean,te_roc_auc_std,tr_recall_mean,tr_recall_std,te_recall_mean,te_recall_std,tr_precision_mean,tr_precision_std,te_precision_mean,te_precision_std,time_mean,time_std
0.1,5.0,125.0,1.0,0.0,0.7253,0.0705,0.7145,0.0886,1.0,0.0,0.9764,0.0065,1.0,0.0,0.5104,0.1017,1.0,0.0,0.7647,0.0774,39.4484,9.0029
0.1,4.0,125.0,1.0,0.0,0.7182,0.056,0.7087,0.0782,1.0,0.0,0.9736,0.0133,0.995,0.0076,0.4928,0.1064,1.0,0.0,0.7929,0.0726,32.1459,6.9753
0.1,4.0,75.0,0.9993,0.0011,0.7146,0.0593,0.706,0.0782,1.0,0.0001,0.9756,0.0079,0.9685,0.0287,0.4608,0.0997,0.9949,0.0093,0.8027,0.0872,19.513,4.4299
0.1,4.0,100.0,0.9999,0.0002,0.7136,0.0578,0.7043,0.0794,1.0,0.0,0.9756,0.0083,0.9872,0.0196,0.473,0.113,1.0,0.0,0.7789,0.0771,26.1027,5.7568
0.1,4.0,50.0,0.9954,0.0049,0.7116,0.0605,0.7032,0.0771,0.9998,0.0002,0.9757,0.0074,0.921,0.0294,0.4439,0.0965,0.9911,0.0104,0.7809,0.0695,13.3202,3.0817
0.1,5.0,100.0,1.0,0.0,0.6997,0.0709,0.6869,0.0978,1.0,0.0,0.9755,0.0082,1.0,0.0,0.4431,0.0985,1.0,0.0,0.735,0.0651,35.9273,8.2662
0.1,5.0,75.0,1.0,0.0,0.6956,0.0698,0.6831,0.0968,1.0,0.0,0.9754,0.0082,1.0,0.0,0.4439,0.0923,1.0,0.0,0.7443,0.0516,26.8028,6.1779
0.1,5.0,50.0,0.9999,0.0001,0.6903,0.0677,0.6766,0.0961,1.0,0.0,0.9755,0.0075,0.9965,0.0059,0.4372,0.1059,0.9993,0.0015,0.7243,0.0707,17.9419,4.1497
0.1,2.0,75.0,0.8913,0.0308,0.6885,0.0846,0.6777,0.1092,0.9926,0.0023,0.9711,0.0155,0.6626,0.041,0.4284,0.0685,0.9144,0.0275,0.7186,0.1047,11.3168,2.3583
0.2,5.0,125.0,1.0,0.0,0.688,0.0301,0.6788,0.0513,1.0,0.0,0.9691,0.0087,1.0,0.0,0.417,0.0741,1.0,0.0,0.692,0.0514,39.2734,8.9873
0.1,2.0,125.0,0.94,0.0322,0.6879,0.0819,0.6757,0.1069,0.996,0.0021,0.9736,0.011,0.7499,0.0639,0.4599,0.0541,0.9447,0.0301,0.7353,0.1283,16.2274,3.8241
0.1,3.0,75.0,0.9799,0.0154,0.6874,0.0745,0.6792,0.0908,0.9988,0.0009,0.9743,0.0085,0.8492,0.0448,0.4286,0.1033,0.978,0.0191,0.7313,0.1213,16.3607,3.7817
0.1,2.0,100.0,0.9187,0.0338,0.6866,0.0802,0.6753,0.1054,0.9944,0.0025,0.973,0.0111,0.7117,0.0582,0.4604,0.0671,0.9372,0.03,0.7327,0.0962,14.6954,3.2895
0.1,3.0,125.0,0.9952,0.0064,0.6828,0.0748,0.6722,0.0968,0.9997,0.0004,0.9745,0.0085,0.9347,0.0403,0.4682,0.1014,0.9928,0.0099,0.7103,0.0967,24.6304,5.33
0.1,3.0,100.0,0.9904,0.0101,0.6812,0.0704,0.6688,0.0846,0.9995,0.0006,0.974,0.0087,0.9055,0.053,0.4547,0.1242,0.9884,0.0153,0.7325,0.1059,22.0075,5.2342
0.2,2.0,125.0,0.9877,0.0161,0.6806,0.0654,0.6686,0.0937,0.9992,0.0011,0.9747,0.0087,0.9042,0.0597,0.4716,0.0469,0.9865,0.0167,0.7196,0.0971,16.2139,3.9134
0.3,2.0,75.0,0.9806,0.0186,0.6806,0.0754,0.6655,0.0936,0.9985,0.0014,0.9725,0.0098,0.8871,0.0599,0.4981,0.1076,0.9828,0.0187,0.7528,0.0836,11.1392,2.5093
0.1,3.0,50.0,0.9576,0.0205,0.6793,0.0769,0.668,0.089,0.9974,0.0013,0.9739,0.0086,0.7848,0.0523,0.4177,0.0896,0.9596,0.0263,0.7499,0.1506,11.0491,2.4737
0.3,2.0,50.0,0.9507,0.0274,0.6754,0.0722,0.6634,0.09,0.9965,0.0022,0.9729,0.0093,0.802,0.0343,0.4735,0.0938,0.9526,0.0202,0.7616,0.1088,7.5431,1.6591
0.2,2.0,75.0,0.9531,0.0266,0.6749,0.0659,0.6649,0.0877,0.9968,0.0019,0.9735,0.0091,0.7907,0.0589,0.4907,0.0992,0.957,0.023,0.7203,0.098,11.0926,2.5817
0.3,2.0,100.0,0.9933,0.0085,0.6721,0.053,0.6519,0.0652,0.9994,0.0008,0.9724,0.0088,0.9455,0.0404,0.4979,0.103,0.9908,0.0146,0.7396,0.0429,14.9657,3.3768
0.2,2.0,100.0,0.9754,0.0196,0.6706,0.0647,0.6607,0.0895,0.9985,0.0013,0.9731,0.0086,0.8473,0.063,0.4842,0.0899,0.9774,0.0249,0.7337,0.1015,14.7331,3.4034
0.1,2.0,50.0,0.851,0.0295,0.6698,0.0851,0.6581,0.1123,0.9895,0.0023,0.9682,0.0188,0.5951,0.0305,0.3525,0.0449,0.8855,0.041,0.7162,0.1024,7.4176,1.6476
0.2,3.0,75.0,0.998,0.0037,0.6658,0.1202,0.6495,0.1499,0.9999,0.0003,0.9714,0.0119,0.9675,0.0351,0.4702,0.0958,0.9985,0.0033,0.7026,0.095,16.4574,3.6241
0.2,2.0,50.0,0.9175,0.0291,0.6634,0.0618,0.6482,0.0793,0.9943,0.0022,0.9734,0.0102,0.7205,0.036,0.4597,0.0669,0.9276,0.0279,0.7254,0.0967,7.5352,1.8344
0.3,5.0,125.0,1.0,0.0,0.6619,0.0908,0.6473,0.1185,1.0,0.0,0.9664,0.014,1.0,0.0,0.4186,0.0676,1.0,0.0,0.711,0.1194,39.4588,8.9601
0.2,4.0,125.0,1.0,0.0,0.6609,0.0682,0.6431,0.0995,1.0,0.0,0.9722,0.006,1.0,0.0,0.4357,0.0549,1.0,0.0,0.719,0.07,31.612,7.1649
0.2,4.0,50.0,0.9997,0.0007,0.6546,0.0598,0.6418,0.0832,1.0,0.0,0.9726,0.0072,0.9907,0.0138,0.4269,0.0419,0.9985,0.0021,0.7358,0.0978,13.1476,2.7455
0.2,3.0,50.0,0.9904,0.0108,0.6545,0.1167,0.6405,0.1441,0.9994,0.0007,0.973,0.0088,0.9217,0.0422,0.4626,0.0866,0.9863,0.0171,0.7128,0.0926,11.1783,2.7899
0.2,4.0,100.0,1.0,0.0,0.6524,0.0617,0.6314,0.0953,1.0,0.0,0.9718,0.0057,1.0,0.0,0.4239,0.0517,1.0,0.0,0.6997,0.0752,26.0327,6.2937
0.2,3.0,100.0,0.9998,0.0004,0.6516,0.1153,0.6288,0.1377,1.0,0.0,0.9708,0.0128,0.9863,0.0189,0.4638,0.0873,0.9993,0.0016,0.7005,0.081,21.8824,4.949
0.2,4.0,75.0,1.0,0.0,0.651,0.0675,0.6356,0.0965,1.0,0.0,0.9729,0.0068,0.9986,0.0031,0.4299,0.0421,1.0,0.0,0.7182,0.075,19.7401,4.4598
0.2,3.0,125.0,1.0,0.0,0.6429,0.0961,0.6315,0.1157,1.0,0.0,0.9709,0.0088,0.9937,0.0104,0.4853,0.076,1.0,0.0,0.715,0.0759,23.9351,5.6859
0.3,2.0,125.0,0.9971,0.0054,0.6424,0.0826,0.6285,0.1103,0.9998,0.0004,0.97,0.0114,0.9642,0.039,0.5002,0.0407,0.9925,0.0127,0.7381,0.0842,16.0976,3.6192
0.2,5.0,100.0,1.0,0.0,0.6416,0.0922,0.6299,0.1146,1.0,0.0,0.9682,0.0106,1.0,0.0,0.4113,0.0611,1.0,0.0,0.6914,0.0841,36.1766,8.0749
0.2,5.0,75.0,1.0,0.0,0.6293,0.0916,0.618,0.1141,1.0,0.0,0.9685,0.01,1.0,0.0,0.4194,0.0613,1.0,0.0,0.6598,0.0877,27.0381,6.2566
0.3,5.0,100.0,1.0,0.0,0.6215,0.0738,0.5787,0.102,1.0,0.0,0.9674,0.0058,1.0,0.0,0.4264,0.0766,1.0,0.0,0.7074,0.0587,36.1667,8.3878
0.3,4.0,125.0,1.0,0.0,0.6129,0.0986,0.5635,0.1354,1.0,0.0,0.9678,0.0084,1.0,0.0,0.4514,0.0732,1.0,0.0,0.7421,0.1118,31.733,7.1738
0.3,5.0,75.0,1.0,0.0,0.6093,0.076,0.5722,0.0986,1.0,0.0,0.9667,0.0068,1.0,0.0,0.4345,0.0808,1.0,0.0,0.6672,0.0614,27.4739,6.1847
0.3,4.0,100.0,1.0,0.0,0.6083,0.0954,0.5647,0.1222,1.0,0.0,0.9688,0.0088,1.0,0.0,0.4169,0.0529,1.0,0.0,0.7115,0.1081,26.3009,5.839
0.2,5.0,50.0,1.0,0.0,0.6072,0.0816,0.57,0.093,1.0,0.0,0.9686,0.0094,1.0,0.0,0.4483,0.0923,1.0,0.0,0.6553,0.0802,18.1714,4.2503
0.3,5.0,50.0,1.0,0.0,0.605,0.0752,0.5609,0.1031,1.0,0.0,0.9668,0.0073,1.0,0.0,0.4432,0.0938,1.0,0.0,0.6336,0.0563,18.3132,4.1029
0.3,4.0,75.0,1.0,0.0,0.5969,0.0979,0.5557,0.1231,1.0,0.0,0.9681,0.0075,1.0,0.0,0.4234,0.0503,1.0,0.0,0.7217,0.1208,19.7395,4.603
0.3,3.0,125.0,1.0,0.0,0.5956,0.0727,0.571,0.0944,1.0,0.0,0.9681,0.0111,1.0,0.0,0.4907,0.0992,1.0,0.0,0.7178,0.0988,23.9021,5.3705
0.3,3.0,100.0,1.0,0.0,0.5894,0.0989,0.5649,0.1065,1.0,0.0,0.968,0.0107,0.9992,0.0018,0.483,0.0737,1.0,0.0,0.6808,0.0796,22.0664,5.0711
0.3,4.0,50.0,1.0,0.0,0.5879,0.0903,0.5476,0.1117,1.0,0.0,0.9682,0.0078,1.0,0.0,0.4197,0.0419,1.0,0.0,0.6686,0.1038,13.1612,3.0293
0.3,3.0,75.0,0.9995,0.0012,0.5765,0.1054,0.5557,0.1006,0.9999,0.0002,0.9668,0.0128,0.9952,0.0107,0.4548,0.0644,0.9993,0.0016,0.6646,0.0877,16.7079,3.9026
0.3,3.0,50.0,0.9965,0.0056,0.5678,0.1112,0.5512,0.1034,0.9997,0.0005,0.9614,0.0229,0.9693,0.0285,0.4634,0.064,0.9978,0.0049,0.6722,0.0861,11.1812,2.4884
