model,param,fold,test_recall,test_precision,test_pr_auc,test_roc_auc,test_pr_auc_adj,train_recall,train_precision,train_pr_auc,train_roc_auc,train_pr_auc_adj,time
LogReg,"{'C': 0.1, 'penalty': 'l1', 'random_state': 4, 'solver': 'liblinear'}",1,0.5217391304347826,0.9230769230769231,0.780669292720872,0.9861632125945514,0.8158438708654973,0.4591194968553459,0.7448979591836735,0.7182605202365723,0.9835139530532647,0.7169408529572043,0.26403990000017075
LogReg,"{'C': 0.1, 'penalty': 'l1', 'random_state': 4, 'solver': 'liblinear'}",2,0.41025641025641024,0.7272727272727273,0.7213381506652208,0.9760659022598241,0.6788254583950799,0.4835164835164835,0.7857142857142857,0.7397583676331763,0.9849257333197377,0.7395285003643459,0.29716184000017165
LogReg,"{'C': 0.1, 'penalty': 'l1', 'random_state': 4, 'solver': 'liblinear'}",3,0.38235294117647056,0.6842105263157895,0.6727495795231213,0.9803076402974983,0.6552268663085877,0.5113122171945701,0.8014184397163121,0.7555735228528747,0.9845928249014861,0.7555423935462444,0.31061796300036804
LogReg,"{'C': 0.1, 'penalty': 'l1', 'random_state': 4, 'solver': 'liblinear'}",4,0.2894736842105263,0.8461538461538461,0.6133880184546416,0.9625798600547611,0.5801539802988467,0.5176470588235295,0.8,0.7563348445742165,0.9846153846153846,0.7563023596896663,0.37907358200027375
LogReg,"{'C': 0.1, 'penalty': 'l1', 'random_state': 4, 'solver': 'liblinear'}",5,0.5483870967741935,0.7727272727272727,0.7338068122745014,0.9801098343255342,0.7406708541571316,0.4948805460750853,0.7837837837837838,0.7405790830614015,0.9823353576446274,0.7405509855371272,0.437745022999934
LogReg,"{'C': 1, 'penalty': 'l1', 'random_state': 4, 'solver': 'liblinear'}",1,0.5652173913043478,0.8666666666666667,0.7684538823583631,0.9825963962855913,0.8043921559366678,0.6352201257861635,0.7709923664122137,0.8107657930870991,0.9893499129283423,0.8107258672403125,1.3548520990002544
LogReg,"{'C': 1, 'penalty': 'l1', 'random_state': 4, 'solver': 'liblinear'}",2,0.5384615384615384,0.8076923076923077,0.7205424906198858,0.9733199747671528,0.6790068184825759,0.6043956043956044,0.7801418439716312,0.8152713850739616,0.9894463138574487,0.8152403057290862,2.4409836929999074
LogReg,"{'C': 1, 'penalty': 'l1', 'random_state': 4, 'solver': 'liblinear'}",3,0.6176470588235294,0.7777777777777778,0.7153153438785568,0.9781524678837051,0.7008542815010376,0.6380090497737556,0.8057142857142857,0.8124566154248348,0.9879157598093149,0.8124305852112368,1.9090852809999888
LogReg,"{'C': 1, 'penalty': 'l1', 'random_state': 4, 'solver': 'liblinear'}",4,0.3157894736842105,0.7058823529411765,0.6206313801449431,0.964671432917554,0.5875188353278924,0.611764705882353,0.7959183673469388,0.806121726972151,0.9872777017783858,0.8061092641111902,1.5828090140003042
LogReg,"{'C': 1, 'penalty': 'l1', 'random_state': 4, 'solver': 'liblinear'}",5,0.6774193548387096,0.7241379310344828,0.7652598913691842,0.978817665789838,0.7707602378176325,0.5836177474402731,0.7844036697247706,0.7891405337367562,0.9856760689026451,0.7890916953937985,2.1389460760001384
LogReg,"{'C': 25, 'penalty': 'l1', 'random_state': 4, 'solver': 'liblinear'}",1,0.5652173913043478,0.7222222222222222,0.75980434438526,0.9783531148145871,0.7944858050898771,0.6729559748427673,0.7642857142857142,0.8255814570724999,0.9903753436092281,0.8253309942494242,7.387400632999743
LogReg,"{'C': 25, 'penalty': 'l1', 'random_state': 4, 'solver': 'liblinear'}",2,0.5897435897435898,0.696969696969697,0.7089320073103592,0.9671601914727819,0.6680374892997867,0.6538461538461539,0.7727272727272727,0.8287955723797255,0.9902515994593083,0.8285531777918775,7.258957897000073
LogReg,"{'C': 25, 'penalty': 'l1', 'random_state': 4, 'solver': 'liblinear'}",3,0.5882352941176471,0.7142857142857143,0.6994265289110461,0.9757860040567952,0.6849463851989717,0.6380090497737556,0.7877094972067039,0.8223808034884577,0.9883956160188763,0.8223695555116038,14.786445875000027
LogReg,"{'C': 25, 'penalty': 'l1', 'random_state': 4, 'solver': 'liblinear'}",4,0.34210526315789475,0.7222222222222222,0.6191422258271061,0.9628840888348037,0.5870068887185335,0.6235294117647059,0.7794117647058824,0.8150463575717186,0.9876144375460382,0.8150412213992931,11.177625038000315
LogReg,"{'C': 25, 'penalty': 'l1', 'random_state': 4, 'solver': 'liblinear'}",5,0.6774193548387096,0.7241379310344828,0.7446889397361733,0.9759102865845216,0.7503330263225318,0.6006825938566553,0.7719298245614035,0.7968451996413557,0.9860634371132431,0.7968400492380698,13.226497791000384
