model,param,fold,test_recall,test_precision,test_pr_auc,test_roc_auc,test_pr_auc_adj,train_recall,train_precision,train_pr_auc,train_roc_auc,train_pr_auc_adj,time
SVC_linear,"{'C': 0.05, 'kernel': 'linear', 'random_state': 4}",1,0.5652173913043478,0.8666666666666667,0.7837242632827889,0.9875776397515528,0.8204413468666757,0.559748427672956,0.7876106194690266,0.7871076952207743,0.9853921103003612,0.7788778011644437,0.3129144670019741
SVC_linear,"{'C': 0.05, 'kernel': 'linear', 'random_state': 4}",2,0.4358974358974359,0.7727272727272727,0.7082532741447247,0.9725036179450073,0.665712609211587,0.5659340659340659,0.8110236220472441,0.8028548810079232,0.9872252420432293,0.8016798430976553,0.34372769400215475
SVC_linear,"{'C': 0.05, 'kernel': 'linear', 'random_state': 4}",3,0.4117647058823529,0.7,0.7043453279970924,0.9751943881000676,0.6911930670294376,0.5610859728506787,0.8104575163398693,0.7992927038132105,0.985721735174847,0.7992557145712621,0.4225175069987017
SVC_linear,"{'C': 0.05, 'kernel': 'linear', 'random_state': 4}",4,0.2894736842105263,0.8461538461538461,0.6332497728901468,0.964671432917554,0.6016046732622918,0.5607843137254902,0.8313953488372093,0.79932209467181,0.9849886000911993,0.7993041274981711,0.4602368249979918
SVC_linear,"{'C': 0.05, 'kernel': 'linear', 'random_state': 4}",5,0.5483870967741935,0.9444444444444444,0.7708971671198115,0.9799252388204348,0.775589682543088,0.5221843003412969,0.8181818181818182,0.7799509830424676,0.9827852045988702,0.7799449223991421,0.7503951850012527
SVC_linear,"{'C': 0.1, 'kernel': 'linear', 'random_state': 4}",1,0.5652173913043478,0.8125,0.7658240174944708,0.9860402189287252,0.8056003558817901,0.610062893081761,0.8016528925619835,0.7960374608411012,0.9861027157722033,0.7931250167171826,0.46406332399783423
SVC_linear,"{'C': 0.1, 'kernel': 'linear', 'random_state': 4}",2,0.48717948717948717,0.76,0.6989320034049188,0.9713532969683476,0.6542024918262785,0.6153846153846154,0.8,0.8079022407141734,0.9870343788973339,0.806568151286017,0.36281648200019845
SVC_linear,"{'C': 0.1, 'kernel': 'linear', 'random_state': 4}",3,0.4411764705882353,0.7142857142857143,0.7166433025260559,0.9751098715348208,0.7041825722640238,0.5882352941176471,0.8125,0.8071071715645839,0.9858770643525085,0.8070447223348078,0.5075067710022267
SVC_linear,"{'C': 0.1, 'kernel': 'linear', 'random_state': 4}",4,0.3157894736842105,0.8571428571428571,0.6330849596046799,0.9640249467599634,0.601927773112837,0.5843137254901961,0.8277777777777777,0.8037941634627698,0.9850257813322109,0.8037424533678619,0.49911292500109994
SVC_linear,"{'C': 0.1, 'kernel': 'linear', 'random_state': 4}",5,0.5806451612903226,0.9,0.7651066245565,0.9774331995015921,0.7691978386345939,0.552901023890785,0.81,0.7841558136604256,0.9830405525076795,0.7841305661978357,0.5687125170006766
SVC_linear,"{'C': 1, 'kernel': 'linear', 'random_state': 4}",1,0.6521739130434783,0.7894736842105263,0.7497580314953997,0.9795215546399361,0.7872805755810278,0.6666666666666666,0.7737226277372263,0.8183318791213609,0.987754198868788,0.8177767982167491,0.46676515099898097
SVC_linear,"{'C': 1, 'kernel': 'linear', 'random_state': 4}",2,0.5128205128205128,0.7142857142857143,0.6774866505160912,0.9675312627555753,0.6307580820742482,0.6538461538461539,0.7986577181208053,0.8226879132278502,0.9876174265895893,0.8222996235402653,0.48832601699905354
SVC_linear,"{'C': 1, 'kernel': 'linear', 'random_state': 4}",3,0.5882352941176471,0.8,0.7324819448821027,0.9753634212305612,0.7210802658720095,0.6199095022624435,0.8203592814371258,0.8184890720238411,0.9856486934782086,0.8184227199556825,0.6034708339975623
SVC_linear,"{'C': 1, 'kernel': 'linear', 'random_state': 4}",4,0.3157894736842105,0.8571428571428571,0.6235841700423024,0.9634545177973837,0.5912886906740344,0.6,0.8315217391304348,0.8111141064711204,0.9852025676102284,0.8110827292621264,1.2548001959985413
SVC_linear,"{'C': 1, 'kernel': 'linear', 'random_state': 4}",5,0.5806451612903226,0.782608695652174,0.744220769952692,0.9724952697401819,0.7492803344993498,0.5665529010238908,0.7980769230769231,0.7942377793986808,0.9833801108970536,0.7941959331196774,1.6945990130006976
SVC_linear,"{'C': 10, 'kernel': 'linear', 'random_state': 4}",1,0.6086956521739131,0.7,0.7646966631253267,0.9805055039665458,0.800901086533662,0.6792452830188679,0.7659574468085106,0.8255879315072171,0.9878351539225422,0.8244467633036376,1.6587629940004263
SVC_linear,"{'C': 10, 'kernel': 'linear', 'random_state': 4}",2,0.5128205128205128,0.7142857142857143,0.6745466341500106,0.9610746224349698,0.6306314927563397,0.6593406593406593,0.7947019867549668,0.8254823807854119,0.9875180731711781,0.8246846729566845,3.5067138990016247
SVC_linear,"{'C': 10, 'kernel': 'linear', 'random_state': 4}",3,0.5882352941176471,0.6896551724137931,0.7071489733772334,0.9721940500338067,0.6953542332097437,0.6606334841628959,0.8111111111111111,0.8224723131270368,0.9854656269473934,0.8223948498776967,1.767620544997044
SVC_linear,"{'C': 10, 'kernel': 'linear', 'random_state': 4}",4,0.2894736842105263,0.7333333333333333,0.6218621288942001,0.9623897170672345,0.5901048004491274,0.6039215686274509,0.8191489361702128,0.8150109529798686,0.9850187660037182,0.8149589004393561,2.526117223998881
SVC_linear,"{'C': 10, 'kernel': 'linear', 'random_state': 4}",5,0.5806451612903226,0.8181818181818182,0.7417385872579274,0.9712031012044857,0.746856771373666,0.5733788395904437,0.8038277511961722,0.7958200517218488,0.9834089054484724,0.7957777802394976,6.477826562997507
SVC_linear,"{'C': 25, 'kernel': 'linear', 'random_state': 4}",1,0.6086956521739131,0.7,0.756811164630978,0.9787835926449788,0.793384596717285,0.6981132075471698,0.7655172413793103,0.8287326552440722,0.9881355871220299,0.8279141841301121,4.363841919999686
