params_C,params_degree,params_gamma,tr_pr_auc_mean,tr_pr_auc_std,te_pr_auc_mean,te_pr_auc_std,adj_pr_auc_mean,adj_pr_auc_std,tr_roc_auc_mean,tr_roc_auc_std,te_roc_auc_mean,te_roc_auc_std,tr_recall_mean,tr_recall_std,te_recall_mean,te_recall_std,tr_precision_mean,tr_precision_std,te_precision_mean,te_precision_std,time_mean,time_std
1.0,2,0.01,0.8731,0.014,0.6916,0.0494,0.6823,0.0743,0.9888,0.0035,0.9479,0.0121,0.5217,0.0147,0.3687,0.0834,0.9246,0.0203,0.8662,0.0879,0.4212,0.0975
0.1,2,auto,0.8238,0.0126,0.6869,0.0577,0.6765,0.0816,0.9844,0.0037,0.9442,0.0144,0.3984,0.0094,0.3093,0.0857,0.9413,0.0172,0.8968,0.0742,0.6693,0.353
0.05,2,auto,0.7849,0.0103,0.6769,0.0578,0.6683,0.0851,0.9797,0.0033,0.9488,0.0155,0.2689,0.0184,0.2384,0.0942,0.9387,0.0131,0.8967,0.1366,0.5293,0.0394
0.1,3,0.01,0.8414,0.0086,0.6714,0.0276,0.6592,0.0536,0.9888,0.002,0.9477,0.0263,0.3711,0.0113,0.2667,0.0969,0.9709,0.0305,0.8775,0.0924,0.5166,0.0685
0.05,3,0.01,0.8018,0.0074,0.6702,0.0402,0.6586,0.0666,0.9845,0.0025,0.949,0.0266,0.2595,0.0162,0.217,0.103,0.9709,0.0223,0.8957,0.1369,0.4329,0.0993
0.1,2,0.01,0.7548,0.0116,0.6666,0.0638,0.6576,0.0946,0.976,0.0034,0.9519,0.0185,0.1889,0.0355,0.182,0.1054,0.966,0.0326,0.9033,0.1734,0.4288,0.0995
1.0,2,auto,0.9283,0.0123,0.662,0.0568,0.6501,0.0832,0.9933,0.0027,0.943,0.019,0.7033,0.0208,0.4457,0.0691,0.9367,0.0231,0.7518,0.0746,0.4284,0.1063
0.05,2,0.1,0.9394,0.0109,0.6578,0.0624,0.6419,0.0906,0.9942,0.0023,0.945,0.0199,0.7568,0.0381,0.4871,0.1001,0.9439,0.0189,0.7035,0.0817,0.4791,0.0812
10.0,2,0.01,0.9586,0.0072,0.655,0.0609,0.6405,0.0875,0.996,0.0015,0.9472,0.0151,0.8512,0.0364,0.5383,0.0797,0.9547,0.0098,0.6609,0.0437,0.4691,0.1278
0.1,2,0.1,0.9586,0.0072,0.655,0.0609,0.6405,0.0875,0.996,0.0015,0.9472,0.0151,0.8512,0.0364,0.5383,0.0797,0.9547,0.0098,0.6609,0.0437,0.7617,0.3158
0.05,3,auto,0.8983,0.0092,0.6545,0.0472,0.6361,0.0789,0.9927,0.0017,0.9349,0.0191,0.521,0.0151,0.3421,0.0896,0.9675,0.0171,0.8352,0.0931,0.4362,0.0994
0.1,3,auto,0.933,0.011,0.6535,0.046,0.6204,0.0795,0.9952,0.0012,0.9358,0.0206,0.6015,0.0153,0.3927,0.0852,0.9745,0.0132,0.7929,0.1385,0.4392,0.1074
1.0,3,0.01,0.9494,0.0094,0.6499,0.0519,0.6101,0.0862,0.9965,0.0008,0.9358,0.0226,0.6529,0.0186,0.4108,0.048,0.9674,0.0166,0.7876,0.1343,0.7565,0.3749
0.05,2,0.01,0.7269,0.0074,0.6446,0.0818,0.6334,0.1145,0.9728,0.0028,0.9513,0.0222,0.0806,0.0195,0.072,0.0618,0.9544,0.0477,0.76,0.4336,0.7125,0.2861
