params_C,params_gamma,tr_pr_auc_mean,tr_pr_auc_std,te_pr_auc_mean,te_pr_auc_std,adj_pr_auc_mean,adj_pr_auc_std,tr_roc_auc_mean,tr_roc_auc_std,te_roc_auc_mean,te_roc_auc_std,tr_recall_mean,tr_recall_std,te_recall_mean,te_recall_std,tr_precision_mean,tr_precision_std,te_precision_mean,te_precision_std,time_mean,time_std
1.0,0.01,0.9141,0.0082,0.7286,0.0373,0.7217,0.0589,0.9924,0.0013,0.9587,0.0175,0.5802,0.0095,0.3899,0.084,0.9408,0.0062,0.8941,0.0725,0.9314,0.4643
25.0,0.01,0.9972,0.0034,0.7284,0.0654,0.7181,0.083,0.9999,0.0001,0.9692,0.0099,0.9874,0.0052,0.5441,0.0743,0.9916,0.0026,0.7318,0.1235,0.6172,0.1476
10.0,0.01,0.994,0.0027,0.724,0.0696,0.7136,0.0896,0.9997,0.0001,0.965,0.0155,0.9344,0.0076,0.5226,0.1029,0.9842,0.0033,0.7556,0.1508,0.5976,0.167
1.0,auto,0.9651,0.0056,0.7218,0.0397,0.7138,0.0578,0.9971,0.0012,0.9481,0.0185,0.6999,0.0233,0.3829,0.0777,0.9655,0.0102,0.8667,0.1346,0.7357,0.2113
10.0,auto,0.9999,0.0,0.7158,0.0631,0.7047,0.0817,1.0,0.0,0.9532,0.0099,0.9951,0.003,0.5074,0.1123,0.9946,0.0012,0.7675,0.1353,0.9464,0.0901
50.0,0.01,1.0,0.0,0.7115,0.0644,0.7009,0.0857,1.0,0.0,0.9671,0.0116,0.9992,0.0018,0.5607,0.0688,0.9984,0.0022,0.7098,0.1216,0.5916,0.1701
0.05,auto,0.8942,0.0277,0.7109,0.0493,0.7034,0.0647,0.9908,0.0038,0.9423,0.0156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7256,0.2134
0.1,auto,0.8943,0.0278,0.7107,0.0488,0.7031,0.0643,0.9908,0.0038,0.9423,0.0153,0.0225,0.0235,0.0065,0.0144,0.6,0.5477,0.2,0.4472,0.7418,0.2186
0.05,0.01,0.8344,0.029,0.7107,0.0406,0.7022,0.0633,0.9848,0.0029,0.9563,0.0116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6319,0.189
0.1,0.01,0.8344,0.0289,0.7103,0.0401,0.7019,0.0629,0.9848,0.0029,0.9562,0.0116,0.0325,0.0327,0.0182,0.0283,0.6,0.5477,0.4,0.5477,0.6309,0.1827
100.0,0.01,1.0,0.0,0.7099,0.0665,0.6991,0.0884,1.0,0.0,0.9671,0.0125,1.0,0.0,0.5496,0.0816,1.0,0.0,0.6957,0.1126,0.7166,0.1281
100.0,auto,1.0,0.0,0.7068,0.0633,0.6955,0.0828,1.0,0.0,0.9493,0.0108,1.0,0.0,0.5079,0.1112,1.0,0.0,0.7566,0.148,0.7118,0.2087
50.0,auto,1.0,0.0,0.7068,0.0633,0.6955,0.0828,1.0,0.0,0.9493,0.0108,1.0,0.0,0.5079,0.1112,1.0,0.0,0.7566,0.148,0.885,0.5484
25.0,auto,1.0,0.0,0.7066,0.0636,0.6952,0.0831,1.0,0.0,0.9493,0.0108,1.0,0.0,0.5079,0.1112,1.0,0.0,0.7566,0.148,1.0326,0.4356
1.0,0.1,1.0,0.0,0.565,0.0617,0.5514,0.0849,1.0,0.0,0.9598,0.011,0.9818,0.0073,0.0051,0.0115,1.0,0.0,0.2,0.4472,4.2494,1.8239
0.05,0.1,1.0,0.0,0.5612,0.067,0.5478,0.0882,1.0,0.0,0.9596,0.0113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9709,1.7015
0.1,0.1,1.0,0.0,0.561,0.0675,0.5476,0.0883,1.0,0.0,0.9596,0.0113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26,1.662
100.0,0.1,1.0,0.0,0.5562,0.0567,0.5407,0.0866,1.0,0.0,0.9609,0.0104,1.0,0.0,0.0103,0.0229,1.0,0.0,0.2,0.4472,4.5361,1.9119
50.0,0.1,1.0,0.0,0.5562,0.0567,0.5407,0.0866,1.0,0.0,0.9609,0.0104,1.0,0.0,0.0103,0.0229,1.0,0.0,0.2,0.4472,4.7004,2.2168
25.0,0.1,1.0,0.0,0.5562,0.0567,0.5407,0.0866,1.0,0.0,0.9609,0.0104,1.0,0.0,0.0103,0.0229,1.0,0.0,0.2,0.4472,4.6804,2.0827
10.0,0.1,1.0,0.0,0.5562,0.0567,0.5407,0.0866,1.0,0.0,0.9609,0.0104,1.0,0.0,0.0103,0.0229,1.0,0.0,0.2,0.4472,4.6789,1.9733
0.05,10,1.0,0.0,0.5226,0.0044,0.5216,0.0006,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0507,2.6614
25.0,10,1.0,0.0,0.5226,0.0044,0.5216,0.0006,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.2508,2.4652
50.0,10,1.0,0.0,0.5226,0.0044,0.5216,0.0006,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.2268,2.847
0.05,100,1.0,0.0,0.5226,0.0044,0.5216,0.0006,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2793,2.5482
0.1,100,1.0,0.0,0.5226,0.0044,0.5216,0.0006,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2715,2.2959
50.0,100,1.0,0.0,0.5226,0.0044,0.5216,0.0006,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.5818,2.1726
25.0,100,1.0,0.0,0.5226,0.0044,0.5216,0.0006,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.5772,1.9647
10.0,100,1.0,0.0,0.5226,0.0044,0.5216,0.0006,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.6591,2.0428
10.0,10,1.0,0.0,0.5226,0.0044,0.5216,0.0006,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.2839,2.4459
0.1,10,1.0,0.0,0.5226,0.0044,0.5216,0.0006,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9055,2.6951
1.0,10,1.0,0.0,0.5226,0.0044,0.5216,0.0006,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.3822,2.5964
1.0,100,1.0,0.0,0.5226,0.0044,0.5216,0.0006,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.3752,2.6386
100.0,10,1.0,0.0,0.5226,0.0044,0.5216,0.0006,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.2904,2.8599
100.0,100,1.0,0.0,0.5226,0.0044,0.5216,0.0006,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.5684,2.3657
100.0,1,1.0,0.0,0.3172,0.0599,0.3087,0.0428,1.0,0.0,0.8278,0.0387,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.9032,2.7047
25.0,1,1.0,0.0,0.3172,0.0599,0.3087,0.0428,1.0,0.0,0.8278,0.0387,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.7597,2.7049
10.0,1,1.0,0.0,0.3172,0.0599,0.3087,0.0428,1.0,0.0,0.8278,0.0387,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.6776,2.6586
50.0,1,1.0,0.0,0.3172,0.0599,0.3087,0.0428,1.0,0.0,0.8278,0.0387,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.7274,2.687
1.0,1,1.0,0.0,0.3152,0.0605,0.3067,0.0439,1.0,0.0,0.8262,0.0387,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.4777,1.9508
0.1,1,1.0,0.0,0.3058,0.0657,0.297,0.0474,1.0,0.0,0.8183,0.0414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4023,2.5862
