params_eta,params_gamma,params_lambda,params_max_depth,params_scale_pos_weight,param_n_estimators_mean,param_n_estimators_std,tr_pr_auc_mean,tr_pr_auc_std,te_pr_auc_mean,te_pr_auc_std,adj_pr_auc_mean,adj_pr_auc_std,tr_roc_auc_mean,tr_roc_auc_std,te_roc_auc_mean,te_roc_auc_std,tr_recall_mean,tr_recall_std,te_recall_mean,te_recall_std,tr_precision_mean,tr_precision_std,te_precision_mean,te_precision_std,time_mean,time_std
0.075,0.0,0.75,3,True,205.6,47.52683452535,0.9967,0.0045,0.7518,0.0651,0.7404,0.089,0.9999,0.0002,0.9812,0.0084,1.0,0.0,0.7817,0.0816,0.7258,0.1282,0.525,0.034,1.0896,0.3309
0.125,1.0,0.5,3,False,44.6,12.561846997953765,0.9302,0.0413,0.7511,0.0734,0.7426,0.0949,0.9961,0.0022,0.98,0.0086,0.7507,0.0747,0.5007,0.0578,0.9072,0.0565,0.7958,0.105,0.4462,0.049
0.075,0.0,1.0,3,False,81.2,27.344103569142653,0.9421,0.0297,0.751,0.0652,0.7416,0.0863,0.9968,0.0016,0.9804,0.0074,0.7426,0.0679,0.5102,0.0592,0.9315,0.0314,0.7699,0.1055,0.6482,0.2152
0.125,0.0,0.5,3,False,51.6,21.582400237230335,0.9406,0.0422,0.7509,0.0615,0.7413,0.0843,0.9966,0.0025,0.9806,0.0073,0.7825,0.1008,0.5263,0.0804,0.9319,0.0472,0.7791,0.0809,0.4721,0.0788
0.1,0.1,0.75,4,False,61.0,22.561028345356956,0.9821,0.0195,0.7492,0.0702,0.7406,0.0924,0.9991,0.001,0.9811,0.0078,0.8764,0.0832,0.4935,0.1005,0.9701,0.0292,0.7543,0.0869,0.5918,0.1259
0.075,0.1,0.75,3,True,215.2,39.156097864828155,0.9995,0.0008,0.7491,0.0641,0.7377,0.0894,1.0,0.0,0.9808,0.0085,1.0,0.0,0.7719,0.0823,0.7359,0.0315,0.5305,0.0307,1.3625,0.5387
0.1,0.0,0.75,4,False,52.0,19.144189719076646,0.9739,0.0252,0.749,0.0622,0.7397,0.0849,0.9987,0.0013,0.9807,0.0065,0.8538,0.1014,0.4913,0.1033,0.963,0.0288,0.7651,0.0839,0.6461,0.2318
0.1,0.1,0.75,3,False,51.2,13.863621460498695,0.9227,0.029,0.7487,0.0629,0.7399,0.0865,0.9957,0.0017,0.9801,0.0073,0.7268,0.0496,0.5188,0.0478,0.9022,0.0337,0.7651,0.0713,0.6984,0.1193
0.1,0.0,0.75,3,False,51.2,13.863621460498695,0.9227,0.029,0.7487,0.0629,0.7399,0.0865,0.9957,0.0017,0.9801,0.0073,0.7268,0.0496,0.5188,0.0478,0.9022,0.0337,0.7651,0.0713,0.4778,0.0773
0.125,0.5,1.0,3,True,144.6,23.712865706194183,0.9998,0.0002,0.7483,0.0688,0.7341,0.0955,1.0,0.0,0.9815,0.0082,1.0,0.0,0.808,0.0774,0.7929,0.1062,0.5728,0.0376,0.7913,0.0954
