feature,logreg_rank,gradboost_rank,avg_rank,linear_feat,nonlinear_feat
G2_PC1,4,12,8.0,False,False
wind_unit_x_lag365,3,15,9.0,False,False
wind_speed_10m_lag1,15,6,10.5,True,False
wind_unit_y_lag1,14,14,14.0,False,False
wind_unit_y_avg3,1,30,15.5,False,False
wind_unit_y_lag365,13,19,16.0,False,False
wind_speed_10m_std7,12,23,17.5,False,False
G4_PC1,22,13,17.5,True,False
cloud_cover_lag1,8,29,18.5,False,False
G11_PC2,17,25,21.0,True,False
shortwave_radiation_std7,5,38,21.5,False,True
cloud_cover_lag2,9,35,22.0,False,True
pressure_msl_std3,23,21,22.0,True,False
dew_point_2m_lag3,37,7,22.0,True,False
G0_PC1,19,31,25.0,True,False
EHF_sev_lag365,40,11,25.5,True,False
month_cyc_x,43,8,25.5,True,False
wind_speed_10m_lag365,35,17,26.0,True,False
EHI_accl_lag365,11,41,26.0,False,True
pressure_msl_lag365,30,22,26.0,True,False
wind_unit_x_std7,29,24,26.5,True,False
wind_speed_10m_avg7,48,5,26.5,True,False
G12_PC2,21,33,27.0,True,True
wind_unit_y_lag2,7,48,27.5,False,True
precipitation_lag365,41,16,28.5,True,False
wind_unit_x_std3,31,28,29.5,True,False
cloud_cover_lag365,27,34,30.5,True,True
wind_unit_y_std3,2,65,33.5,False,True
precipitation_lag2,69,1,35.0,True,False
wind_speed_10m_lag3,62,10,36.0,True,False
precipitation_lag1,70,3,36.5,True,False
month_cyc_y,65,9,37.0,True,False
wind_unit_x_lag2,24,53,38.5,True,True
EHF_std7,6,71,38.5,False,True
wind_unit_x_lag1,64,18,41.0,True,False
wind_unit_y_std7,36,46,41.0,True,True
wind_unit_y_lag3,28,55,41.5,True,True
pressure_msl_std7,20,64,42.0,True,True
EHI_accl_lag5,42,42,42.0,True,True
shortwave_radiation_std3,52,32,42.0,True,False
wind_speed_10m,25,59,42.0,True,True
EHF_sev_month_mean,10,75,42.5,False,True
dew_point_2m_lag365,50,36,43.0,True,True
G7_PC1,34,52,43.0,True,True
G1_PC1,82,4,43.0,True,False
G5_PC1,60,27,43.5,True,False
precipitation,85,2,43.5,True,False
G10_PC1,39,50,44.5,True,True
EHF_sev_lag4,18,74,46.0,True,True
wind_speed_10m_std3,68,26,47.0,True,False
wind_unit_x_lag3,38,57,47.5,True,True
dew_point_2m_lag1,47,49,48.0,True,True
wind_unit_x_avg3,26,70,48.0,True,True
precipitation_lag3,78,20,49.0,True,False
tmin_std3,59,39,49.0,True,True
EHF_std3,16,82,49.0,True,True
EHF_lag365,55,44,49.5,True,True
cloud_cover_lag3,51,51,51.0,True,True
relative_humidity_2m_std7,44,58,51.0,True,True
relative_humidity_2m_lag365,67,37,52.0,True,True
relative_humidity_2m_std3,45,63,54.0,True,True
G12_PC1,32,77,54.5,True,True
G6_PC1,49,62,55.5,True,True
cloud_cover,33,79,56.0,True,True
G11_PC1,66,47,56.5,True,True
G13_PC2,46,67,56.5,True,True
EHF_sev_lag5,53,61,57.0,True,True
wind_unit_y_avg7,75,40,57.5,True,True
DMT_avg30,57,60,58.5,True,True
dew_point_2m_lag2,61,56,58.5,True,True
relative_humidity_2m_lag1,74,43,58.5,True,True
dew_point_2m,73,45,59.0,True,True
G3_PC1,56,66,61.0,True,True
G9_PC1,54,69,61.5,True,True
wind_unit_x,71,54,62.5,True,True
G13_PC1,58,76,67.0,True,True
G13_PC3,63,73,68.0,True,True
relative_humidity_2m,83,68,75.5,True,True
EHF_sev_lag3,76,78,77.0,True,True
EHI_sig_std3,72,84,78.0,True,True
wind_unit_x_avg7,84,72,78.0,True,True
wind_unit_y,79,81,80.0,True,True
pressure_msl,80,80,80.0,True,True
G14_PC1,77,85,81.0,True,True
G8_PC1,81,83,82.0,True,True
