model,param,fold,test_recall,test_precision,test_pr_auc,test_roc_auc,test_pr_auc_adj,train_recall,train_precision,train_pr_auc,train_roc_auc,train_pr_auc_adj,time
LogReg,"{'C': 0.1, 'penalty': 'l1', 'random_state': 4, 'solver': 'liblinear'}",1,0.5217391304347826,0.9230769230769231,0.780651565517511,0.9861632125945514,0.8158438339738592,0.46540880503144655,0.7474747474747475,0.718455690328207,0.983521149058043,0.7177526236491127,0.23356739996233955
LogReg,"{'C': 0.1, 'penalty': 'l1', 'random_state': 4, 'solver': 'liblinear'}",2,0.41025641025641024,0.7619047619047619,0.7235643486618676,0.9761772236446622,0.6815446988679332,0.47802197802197804,0.7767857142857143,0.7405174501441644,0.9848891294287441,0.7402828227450773,0.2339419000199996
LogReg,"{'C': 0.1, 'penalty': 'l1', 'random_state': 4, 'solver': 'liblinear'}",3,0.38235294117647056,0.6842105263157895,0.6793021833208694,0.9808569979716024,0.6615199985255035,0.502262443438914,0.7985611510791367,0.7558477790445339,0.9845299535676708,0.7558248228046629,0.23575330001767725
LogReg,"{'C': 0.1, 'penalty': 'l1', 'random_state': 4, 'solver': 'liblinear'}",4,0.2894736842105263,0.8461538461538461,0.6129568234422085,0.9628840888348038,0.5792778637463515,0.5215686274509804,0.8012048192771084,0.7584523492680669,0.9846013539583991,0.7584329585392899,0.2791276999632828
LogReg,"{'C': 0.1, 'penalty': 'l1', 'random_state': 4, 'solver': 'liblinear'}",5,0.5483870967741935,0.7727272727272727,0.7346406376375414,0.9800636854492594,0.7415983262530682,0.49829351535836175,0.8021978021978022,0.7431047844839987,0.9822918941707875,0.7430597297879267,0.36748469999292865
LogReg,"{'C': 1, 'penalty': 'l1', 'random_state': 4, 'solver': 'liblinear'}",1,0.5652173913043478,0.8666666666666667,0.7600143848511132,0.9816739437918947,0.796182632215511,0.6352201257861635,0.7769230769230769,0.8170194136679724,0.9895729890764647,0.8169759851000892,0.9634832000010647
LogReg,"{'C': 1, 'penalty': 'l1', 'random_state': 4, 'solver': 'liblinear'}",2,0.5128205128205128,0.8,0.7112719717491314,0.9703514045048054,0.6711140326871643,0.6373626373626373,0.7891156462585034,0.8204662054098584,0.9896332551578804,0.8204245920976148,1.4290327000198886
LogReg,"{'C': 1, 'penalty': 'l1', 'random_state': 4, 'solver': 'liblinear'}",3,0.5588235294117647,0.76,0.7063194579176664,0.9781524678837051,0.6901812484622416,0.6244343891402715,0.8023255813953488,0.8129727049585906,0.9878852487208458,0.8129529911531321,1.7651796000427566
LogReg,"{'C': 1, 'penalty': 'l1', 'random_state': 4, 'solver': 'liblinear'}",4,0.3157894736842105,0.7058823529411765,0.622532004413983,0.9633024034073623,0.5904853378979639,0.6196078431372549,0.797979797979798,0.80729339441172,0.9874053807569539,0.8072802601063231,1.1753796000266448
LogReg,"{'C': 1, 'penalty': 'l1', 'random_state': 4, 'solver': 'liblinear'}",5,0.6774193548387096,0.7,0.7666812850759704,0.9796483455627855,0.7722592641572974,0.5802047781569966,0.7727272727272727,0.7909662217947449,0.9857716885450928,0.790918406543937,1.9776735000195913
