year,SOI
1876,4.95
1877,-10.041666666666666
1878,2.9499999999999997
1879,12.85
1880,7.800000000000001
1881,-4.766666666666667
1882,-4.858333333333333
1883,-0.058333333333333126
1884,-3.158333333333333
1885,-6.316666666666666
1886,7.683333333333334
1887,5.208333333333333
1888,-10.916666666666666
1889,2.3750000000000004
1890,6.091666666666668
1891,-2.433333333333333
1892,5.933333333333334
1893,5.466666666666666
1894,1.9166666666666667
1895,-3.3416666666666663
1896,-15.733333333333334
1897,-5.683333333333334
1898,3.9166666666666665
1899,2.033333333333333
1900,-5.55
1901,0.9916666666666666
1902,0.45833333333333304
1903,4.933333333333334
1904,4.35
1905,-20.008333333333333
1906,4.05
1907,2.025
1908,3.408333333333333
1909,3.6500000000000004
1910,12.733333333333334
1911,-5.333333333333333
1912,-8.483333333333333
1913,-6.033333333333334
1914,-7.925
1915,-3.4416666666666664
1916,7.3999999999999995
1917,20.791666666666668
1918,1.0750000000000002
1919,-9.35
1920,2.1166666666666667
1921,5.908333333333334
1922,4.2
1923,-2.5749999999999997
1924,4.441666666666667
1925,-1.4083333333333334
1926,-3.8000000000000003
1927,3.466666666666667
1928,4.708333333333333
1929,4.866666666666666
1930,0.5
1931,3.3249999999999997
1932,-2.9
1933,1.7916666666666667
1934,0.4333333333333333
1935,1.9333333333333333
1936,0.8666666666666666
1937,1.366666666666667
1938,9.125
1939,0.8333333333333335
1940,-13.85
1941,-12.825000000000001
1942,1.3
1943,4.425
1944,-1.9416666666666664
1945,4.591666666666666
1946,-6.708333333333333
1947,2.308333333333333
1948,-1.1666666666666667
1949,-1.1083333333333334
1950,15.375
1951,-0.6916666666666665
1952,-2.283333333333333
1953,-6.8
1954,4.075
1955,10.583333333333334
1956,10.725000000000001
1957,-3.891666666666667
1958,-3.1999999999999997
1959,-0.041666666666666664
1960,3.8249999999999997
1961,0.8000000000000004
1962,5.3999999999999995
1963,-1.95
1964,6.283333333333334
1965,-8.424999999999999
1966,-4.241666666666666
1967,3.1999999999999997
1968,3.016666666666667
1969,-5.383333333333333
1970,3.9250000000000003
1971,10.950000000000001
1972,-7.3500000000000005
1973,7.283333333333334
1974,9.9
1975,13.6
1976,1.1083333333333334
1977,-9.9
1978,-1.6499999999999997
1979,-1.9083333333333332
1980,-3.0833333333333335
1981,1.8
1982,-13.049999999999999
1983,-8.333333333333334
1984,-0.10833333333333324
1985,0.8583333333333334
1986,-2.3833333333333333
1987,-13.075000000000001
1988,7.816666666666666
1989,6.766666666666667
1990,-2.191666666666667
1991,-8.783333333333333
1992,-10.383333333333333
1993,-9.466666666666667
1994,-11.933333333333332
1995,-2.2666666666666666
1996,5.691666666666666
1997,-11.666666666666666
1998,-1.083333333333333
1999,7.95
2000,7.8
2001,0.4833333333333334
2002,-6.1499999999999995
2003,-3.1833333333333336
2004,-4.783333333333333
2005,-3.5666666666666664
2006,-2.1083333333333334
2007,1.2916666666666667
2008,10.116666666666667
2009,-0.3249999999999999
2010,9.816666666666666
2011,13.299999999999999
2012,-0.7666666666666666
2013,3.983333333333333
2014,-3.0333333333333337
2015,-11.233333333333334
2016,-3.0749999999999997
2017,2.15
2018,0.9500000000000001
2019,-7.033333333333334
2020,3.4499999999999997
2021,8.225
2022,13.783333333333333
2023,-3.8416666666666663
2024,0.5333333333333333
2025,5.125
2026,10.45
